Tecnica,Precisão
1,0.7917547568710359
1,0.7814938684503902
1,0.7621878715814506
1,0.7383059418457648
1,0.7062841530054644
1,0.6612903225806451
1,0.7047619047619048
1,0.6111111111111112
1,0.5992366412213741
1,0.5379746835443038
1,0.5069767441860465
1,0.468586387434555
1,0.40718562874251496
1,0.3888888888888889
1,0.4041666666666667
1,0.36180904522613067
1,0.3691275167785235
1,0.3047619047619048
1,0.0625
2.1,0.7645833333333333
2.1,0.7220412595005429
2.1,0.7150964812712827
2.1,0.6793802145411204
2.1,0.6658291457286433
2.1,0.6476063829787234
2.1,0.628005657708628
2.1,0.6217851739788199
2.1,0.6127450980392157
2.1,0.5843694493783304
2.1,0.5603112840466926
2.1,0.47629310344827586
2.1,0.46715328467153283
2.1,0.4860335195530726
2.1,0.42857142857142855
2.1,0.3346938775510204
2.1,0.3763440860215054
2.1,0.384
2.1,0.27692307692307694
3.1,0.721584984358707
3.1,0.6596916299559471
3.1,0.6199304750869061
3.1,0.5679314565483476
3.1,0.48129032258064514
3.1,0.45874125874125876
3.1,0.3996983408748115
3.1,0.37481031866464337
3.1,0.36156351791530944
3.1,0.37364620938628157
3.1,0.29593810444874274
3.1,0.28294573643410853
3.1,0.3229571984435798
3.1,0.3096646942800789
3.1,0.29473684210526313
3.1,0.2864721485411141
3.1,0.2909090909090909
3.1,0.2946859903381642
3.1,0.38848920863309355
